date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:59:39	24022/24022	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Mar%202016%2012:22:03%20GMT	http://darwinthemes.com/retouch/html/theme/index.html	D:/Template/CDAP_new/Deadlocks/darwinthemes.com/retouch/html/theme/index.html	(from )
10:59:40	286/286	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Aug%202016%2005:29:41%20GMT	http://darwinthemes.com/robots.txt		(from )
10:59:40	8240/8240	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2004%20Apr%202016%2011:46:56%20GMT	http://darwinthemes.com/retouch/html/theme/javascript/head.js	D:/Template/CDAP_new/Deadlocks/darwinthemes.com/retouch/html/theme/javascript/head.js	(from http://darwinthemes.com/retouch/html/theme/index.html)
10:59:41	188617/188617	---M-Z	200	added ('OK')	text/css	date:Mon,%2004%20Apr%202016%2011:51:50%20GMT	http://darwinthemes.com/retouch/html/theme/styles/screen.css	D:/Template/CDAP_new/Deadlocks/darwinthemes.com/retouch/html/theme/styles/screen.css	(from http://darwinthemes.com/retouch/html/theme/index.html)
10:59:41	2761/2761	---M-Z	200	added ('OK')	text/css	date:Sat,%2025%20Apr%202015%2020:52:49%20GMT	http://darwinthemes.com/retouch/html/theme/styles/print.css	D:/Template/CDAP_new/Deadlocks/darwinthemes.com/retouch/html/theme/styles/print.css	(from http://darwinthemes.com/retouch/html/theme/index.html)
10:59:42	1150/1150	---M-Z	200	added ('OK')	image/x-icon	date:Sat,%2025%20Apr%202015%2020:50:16%20GMT	http://darwinthemes.com/retouch/html/theme/favicon.ico	D:/Template/CDAP_new/Deadlocks/darwinthemes.com/retouch/html/theme/favicon.ico	(from http://darwinthemes.com/retouch/html/theme/index.html)
10:59:42	9086/9086	---M-Z	200	added ('OK')	application/x-javascript	etag:%221d97dfb9f7c536bce6cfa0cab3867745%22	http://connect.facebook.net/en_US/fbevents.js	D:/Template/CDAP_new/Deadlocks/connect.facebook.net/en_US/fbevents.js	(from http://darwinthemes.com/retouch/html/theme/index.html)
10:59:43	21765/21765	---M-Z	200	added ('OK')	image/png	date:Sat,%2025%20Apr%202015%2020:51:33%20GMT	http://darwinthemes.com/retouch/html/theme/images/logo-a.png	D:/Template/CDAP_new/Deadlocks/darwinthemes.com/retouch/html/theme/images/logo-a.png	(from http://darwinthemes.com/retouch/html/theme/index.html)
10:59:43	4681/4681	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202015%2010:31:49%20GMT	http://darwinthemes.com/retouch/html/theme/portfolio.html	D:/Template/CDAP_new/Deadlocks/darwinthemes.com/retouch/html/theme/portfolio.html	(from http://darwinthemes.com/retouch/html/theme/index.html)
10:59:44	4954/4954	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202015%2010:31:50%20GMT	http://darwinthemes.com/retouch/html/theme/blog.html	D:/Template/CDAP_new/Deadlocks/darwinthemes.com/retouch/html/theme/blog.html	(from http://darwinthemes.com/retouch/html/theme/index.html)
10:59:44	11391/11391	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202015%2010:31:51%20GMT	http://darwinthemes.com/retouch/html/theme/contact.html	D:/Template/CDAP_new/Deadlocks/darwinthemes.com/retouch/html/theme/contact.html	(from http://darwinthemes.com/retouch/html/theme/index.html)
10:59:53	242201/242201	---M-Z	200	added ('OK')	image/png	date:Sat,%2025%20Apr%202015%2020:51:11%20GMT	http://darwinthemes.com/retouch/html/theme/images/device1.png	D:/Template/CDAP_new/Deadlocks/darwinthemes.com/retouch/html/theme/images/device1.png	(from http://darwinthemes.com/retouch/html/theme/index.html)
10:59:57	30292/30292	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Apr%202015%2020:52:08%20GMT	http://darwinthemes.com/retouch/html/theme/images/ts.png	D:/Template/CDAP_new/Deadlocks/darwinthemes.com/retouch/html/theme/images/ts.png	(from http://darwinthemes.com/retouch/html/theme/index.html)
11:00:18	228192/228192	---M-Z	200	added ('OK')	image/png	date:Sat,%2025%20Apr%202015%2020:51:13%20GMT	http://darwinthemes.com/retouch/html/theme/images/device2.png	D:/Template/CDAP_new/Deadlocks/darwinthemes.com/retouch/html/theme/images/device2.png	(from http://darwinthemes.com/retouch/html/theme/index.html)
11:00:19	365330/365330	---M-Z	200	added ('OK')	image/png	date:Sat,%2025%20Apr%202015%2020:53:18%20GMT	http://darwinthemes.com/retouch/html/theme/temp/ab.png	D:/Template/CDAP_new/Deadlocks/darwinthemes.com/retouch/html/theme/temp/ab.png	(from http://darwinthemes.com/retouch/html/theme/index.html)
11:00:28	235571/235571	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Apr%202015%2020:52:01%20GMT	http://darwinthemes.com/retouch/html/theme/images/slider2.png	D:/Template/CDAP_new/Deadlocks/darwinthemes.com/retouch/html/theme/images/slider2.png	(from http://darwinthemes.com/retouch/html/theme/index.html)
11:00:33	227736/227736	---M-Z	200	added ('OK')	image/png	date:Sat,%2025%20Apr%202015%2020:52:02%20GMT	http://darwinthemes.com/retouch/html/theme/images/slider3.png	D:/Template/CDAP_new/Deadlocks/darwinthemes.com/retouch/html/theme/images/slider3.png	(from http://darwinthemes.com/retouch/html/theme/index.html)
11:00:38	249654/249654	---M-Z	200	added ('OK')	image/png	date:Sat,%2025%20Apr%202015%2020:52:02%20GMT	http://darwinthemes.com/retouch/html/theme/images/slider4.png	D:/Template/CDAP_new/Deadlocks/darwinthemes.com/retouch/html/theme/images/slider4.png	(from http://darwinthemes.com/retouch/html/theme/index.html)
11:00:41	241319/241319	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Apr%202015%2020:52:00%20GMT	http://darwinthemes.com/retouch/html/theme/images/slider1.png	D:/Template/CDAP_new/Deadlocks/darwinthemes.com/retouch/html/theme/images/slider1.png	(from http://darwinthemes.com/retouch/html/theme/index.html)
